	AdaBoost_feature_importances	Extra_Trees_feature_importances	Gradient_Boost_feature_importances	Random_Forest_feature_importances	features
0	0.238095238095	0.0385663249407	0.0231445919374	0.03962213205	age.challenge
1	0.412698412698	0.0625451390363	0.394186705744	0.26874393252	weight.challenge
2	0.238095238095	0.0412295012645	0.316335419807	0.137089976489	v18.hour.post.challenge
3	0.984126984127	0.0656206092483	0.378882159049	0.290138629782	v18.weight
4	0.460317460317	0.0516953344719	0.211607128359	0.188578459194	v24.hour.post.challenge
5	0.603174603175	0.0539395025254	0.30565282715	0.252050826544	v24.weight
6	1.0	0.0819164181369	0.667041841862	0.301749694341	weight.change.0.24
7	0.619047619048	0.0460260482921	0.19076640812	0.196908702389	weight.change.0.18
8	0.936507936508	0.0738037488627	1.0	0.325477488418	weight.change.18.24
9	0.15873015873	0.0387437934335	0.0260829756798	0.0377046707494	sex_m
10	0.0	0.0	0.0	0.0	chal.status_non challenged
11	0.0	0.0338953005386	0.0544692012732	0.0179621716151	v18.energy.high_mobile
12	0.015873015873	0.0709023235644	0.0202929879188	0.0559728425909	v18.energy.high_non mobile
13	0.15873015873	0.0892736019026	0.117403507718	0.033085089146	v18.energy.low_mobile
14	0.0	0.0201441617397	0.0293413258585	0.0273444132486	v18.energy.low_non mobile
15	0.0	0.0553552571885	0.0261537745713	0.0432097853355	v18.righting.response.high_rights
16	0.0	0.083487700733	0.00640902841415	0.0671775873053	v18.righting.response.low_rights
17	0.031746031746	0.379539451217	0.211296316624	0.365477018069	v24.energy.high_mobile
18	0.507936507937	0.598067540019	0.374378351894	0.551610412175	v24.energy.high_non mobile
19	0.444444444444	0.229016470877	0.366234107359	0.247507800559	v24.energy.low_mobile
20	0.0	0.0655552789703	0.021412057961	0.0681741176006	v24.energy.low_non mobile
21	0.349206349206	0.70291408142	0.245919303964	0.879456251574	v24.righting.response.high_rights
22	0.52380952381	1.0	0.793783834936	1.0	v24.righting.response.low_rights
23	0.0	0.129820278394	0.0365584975158	0.0981530289985	direction.of.weight.change.18.24_lose
24	0.0	0.101299256174	0.0771100313742	0.0715129322424	change.righting.high_ftr.to.rights
25	0.126984126984	0.125266344111	0.00996263241189	0.127338650674	change.righting.high_rights.to.ftr
26	0.0	0.288409004199	0.0516027529507	0.321313238601	change.righting.high_rights.to.rights
27	0.0	0.169209006217	0.00876317195222	0.156555268882	change.righting.low_ftr.to.rights
28	0.015873015873	0.0825651831625	0.00318236083829	0.0287715729123	change.righting.low_rights.to.ftr
29	0.111111111111	0.252082960313	0.0469639509931	0.20825760977	change.righting.low_rights.to.rights
